image_id,query_index,method,success,expanded_nodes,off_reference_r0,routeconform_0.05_r0,off_reference_r1,routeconform_0.05_r1,off_reference_r2,routeconform_0.05_r2,off_reference_r3,routeconform_0.05_r3
11728825_15,80,Topology+Risk A*,1,876,0.0,1,0.0,1,0.0,1,0.0,1
11728825_15,81,Soft-probability A*,1,27823,0.040909090909090895,1,0.009090909090909038,1,0.003409090909090917,1,0.0,1
11728825_15,81,Topology+Risk A*,1,35544,0.008988764044943864,1,0.0011235955056180247,1,0.0,1,0.0,1
11728825_15,82,Soft-probability A*,1,42537,0.06548856548856552,0,0.023908523908523938,1,0.014553014553014498,1,0.00519750519750517,1
11728825_15,82,Topology+Risk A*,1,47355,0.03412616339193386,1,0.008273009307135482,1,0.0,1,0.0,1
11728825_15,83,Soft-probability A*,1,9004,0.10931174089068829,0,0.036437246963562764,1,0.02429149797570851,1,0.010121457489878583,1
11728825_15,83,Topology+Risk A*,1,9612,0.05633802816901412,0,0.012072434607645843,1,0.0,1,0.0,1
11728825_15,84,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,84,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,85,Soft-probability A*,1,18943,0.06915887850467295,0,0.016822429906542036,1,0.005607476635513975,1,0.0,1
11728825_15,85,Topology+Risk A*,1,21575,0.016574585635359074,1,0.0018416206261510082,1,0.0,1,0.0,1
11728825_15,86,Soft-probability A*,1,48316,0.041158536585365835,1,0.013719512195121908,1,0.009146341463414642,1,0.003810975609756073,1
11728825_15,86,Topology+Risk A*,1,54632,0.02124430955993928,1,0.004552352048558417,1,0.0,1,0.0,1
11728825_15,87,Soft-probability A*,1,36192,0.04613466334164584,1,0.01122194513715713,1,0.0037406483790524137,1,0.0,1
11728825_15,87,Topology+Risk A*,1,37333,0.011111111111111072,1,0.0012345679012345512,1,0.0,1,0.0,1
11728825_15,88,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,88,Topology+Risk A*,1,66606,0.027977044476327095,1,0.008608321377331474,1,0.0014347202295552641,1,0.0,1
11728825_15,89,Soft-probability A*,1,22175,0.05604982206405695,0,0.0,1,0.0,1,0.0,1
11728825_15,89,Topology+Risk A*,1,25031,0.0008841732979664174,1,0.0,1,0.0,1,0.0,1
11728825_15,90,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,90,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,91,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,91,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,92,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,92,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,93,Soft-probability A*,1,59339,0.031952662721893454,1,0.010650887573964485,1,0.007100591715976323,1,0.00295857988165682,1
11728825_15,93,Topology+Risk A*,1,62739,0.01648028251912892,1,0.0035314891112419033,1,0.0,1,0.0,1
11728825_15,94,Soft-probability A*,1,57636,0.03280680437424055,1,0.010935601458080146,1,0.007290400972053468,1,0.0030376670716889542,1
11728825_15,94,Topology+Risk A*,1,79115,0.016918429003021096,1,0.003625377643504568,1,0.0,1,0.0,1
11728825_15,95,Soft-probability A*,1,72036,0.022608695652173938,1,0.00521739130434784,1,0.0017391304347825765,1,0.0,1
11728825_15,95,Topology+Risk A*,1,88881,0.005757052389176787,1,0.0005757052389177009,1,0.0,1,0.0,1
11728825_15,96,Soft-probability A*,1,73730,0.034622042700519384,1,0.008078476630121179,1,0.0017311021350259193,1,0.0,1
11728825_15,96,Topology+Risk A*,1,77529,0.01258581235697942,1,0.0017162471395880674,1,0.0,1,0.0,1
11728825_15,97,Soft-probability A*,1,23171,0.0,1,0.0,1,0.0,1,0.0,1
11728825_15,97,Topology+Risk A*,1,27926,0.0,1,0.0,1,0.0,1,0.0,1
11728825_15,98,Soft-probability A*,1,46324,0.0359281437125748,1,0.0119760479041916,1,0.007984031936127733,1,0.003326679973386537,1
11728825_15,98,Topology+Risk A*,1,50309,0.01851851851851849,1,0.003968253968253954,1,0.0,1,0.0,1
11728825_15,99,Soft-probability A*,1,49208,0.03128621089223638,1,0.010428736964078755,1,0.006952491309385911,1,0.0028968713789108147,1
11728825_15,99,Topology+Risk A*,1,51898,0.016138328530259316,1,0.0034582132564840995,1,0.0,1,0.0,1
12328750_15,100,Soft-probability A*,1,7523,0.012345679012345734,1,0.004938271604938316,1,0.0,1,0.0,1
12328750_15,100,Topology+Risk A*,1,7969,0.004914004914004955,1,0.0,1,0.0,1,0.0,1
12328750_15,101,Soft-probability A*,1,18327,0.005181347150259086,1,0.0,1,0.0,1,0.0,1
12328750_15,101,Topology+Risk A*,1,17836,0.0,1,0.0,1,0.0,1,0.0,1
12328750_15,102,Soft-probability A*,1,597,0.0,1,0.0,1,0.0,1,0.0,1
12328750_15,102,Topology+Risk A*,1,750,0.0,1,0.0,1,0.0,1,0.0,1
12328750_15,103,Soft-probability A*,1,9878,0.12658227848101267,0,0.08227848101265822,0,0.05063291139240511,0,0.006329113924050667,1
12328750_15,103,Topology+Risk A*,1,10830,0.08562691131498468,0,0.01834862385321101,1,0.0,1,0.0,1
12328750_15,104,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,104,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,105,Soft-probability A*,1,24266,0.012300123001230068,1,0.0036900369003689537,1,0.0,1,0.0,1
