method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Topology+Risk A*,1,516.6223663640867,24823,207.7649000000008,0.9543568464730291,0.0456431535269709,nan,nan,nan,0.021289893678806793,32,103722
Binary-mask A*,1,1260.2051942088858,75487,758.150299999997,0.8003549245785271,0.19964507542147292,nan,nan,nan,0.0029102376193586,33,103722
Soft-probability A*,1,1269.862048458379,99298,871.4293000000026,1.0,0.0,nan,nan,nan,0.010595460656464502,33,103722
Clearance-aware A*,1,1289.4183976444829,95264,833.8779000000045,0.9591304347826087,0.04086956521739127,nan,nan,nan,0.026159007687799506,33,103722
URA-style A*,1,1283.2762620207518,92172,842.0614999999998,1.0,0.0,nan,nan,nan,0.021270906348276383,33,103722
GT Oracle A*,1,1256.5483399593934,72042,666.3058999999976,1.0,0.0,nan,nan,nan,0.0,33,103722
Topology+Risk A*,1,1290.0041840821098,94412,838.0630999999994,0.9808861859252823,0.019113814074717683,nan,nan,nan,0.026625194637396543,33,103722
Binary-mask A*,1,1305.3056992722736,76344,641.4745000000011,0.7957446808510639,0.20425531914893613,nan,nan,nan,0.0028094015244398917,34,103722
Soft-probability A*,1,1314.9625535217663,105707,949.4847999999934,1.0,0.0,nan,nan,nan,0.010228341191938033,34,103722
Clearance-aware A*,1,1334.5189027078704,104850,915.436200000002,0.9607679465776294,0.03923205342237057,nan,nan,nan,0.025252630777323024,34,103722
URA-style A*,1,1328.3767670841394,106362,874.1602000000057,1.0,0.0,nan,nan,nan,0.020533896037752332,34,103722
GT Oracle A*,1,1301.6488450227812,65073,573.4694000000004,1.0,0.0,nan,nan,nan,0.0,34,103722
Topology+Risk A*,1,1335.1046891454973,103593,868.0362000000059,0.981651376146789,0.01834862385321101,nan,nan,nan,0.025702664931977568,34,103722
Binary-mask A*,1,1247.1046891454973,77339,638.2630000000091,0.8676867686768677,0.13231323132313233,nan,nan,nan,0.0029408988032041286,35,103722
Soft-probability A*,1,1256.7615433949898,102136,930.8883000000066,1.0,0.0,nan,nan,nan,0.010707090498974038,35,103722
Clearance-aware A*,1,1276.3178925810942,100086,903.5305999999963,0.9585537918871252,0.041446208112874805,nan,nan,nan,0.026434609287681394,35,103722
URA-style A*,1,1270.175756957363,99938,852.2256000000112,1.0,0.0,nan,nan,nan,0.02149500872595396,35,103722
GT Oracle A*,1,1243.447834896005,64877,508.54209999999966,1.0,0.0,nan,nan,nan,0.0,35,103722
Topology+Risk A*,1,1276.903679018721,98689,886.222200000006,0.9806167400881057,0.01938325991189427,nan,nan,nan,0.026905707810021804,35,103722
Binary-mask A*,1,1336.832611206855,82281,708.4499999999991,0.8370927318295739,0.1629072681704261,nan,nan,nan,0.0027429648569655012,36,103722
Soft-probability A*,1,1346.4894654563477,111456,1003.3075999999994,1.0,0.0,nan,nan,nan,0.009986461597059236,36,103722
