image_id,bridge_index,reference_supported,curve_nodes,euclidean_gap,mean_q,min_q,total_cost,confidence_cost,length_cost,direction_cost,width_cost,connectivity_gain,used_by_successful_paths,used_by_any_path
11278840_15,41,1,27,23.40939982143925,0.29838503897190094,0.20140761137008667,0.4573949184362269,1.1883635520935059,0.2340939982143925,0.034937368128328594,0.0,-1.0,0,0
11278840_15,42,1,27,24.08318915758459,0.29808058230965223,0.2512037754058838,0.6328916923997181,1.2067514657974243,0.24083189157584592,0.0015361010432858868,0.18377223398316206,-1.0,0,0
11278840_15,43,1,25,25.298221281347036,0.1731712156534195,0.027088962495326996,1.5009317794551507,2.1217551231384277,0.2529822128134704,0.02147915102430009,0.10471529247895256,-1.0,0,0
11278840_15,44,1,30,25.96150997149434,0.32072827120622,0.20874911546707153,0.8124534653817377,1.2097645998001099,0.2596150997149434,0.0011876488751034753,0.34188611699158106,-1.0,0,0
11278840_15,45,1,32,26.248809496813376,0.3375007240101695,0.29752832651138306,0.6674799239619369,1.0767443180084229,0.26248809496813374,0.005024206282017107,0.32322330470336313,-1.0,0,0
11278840_15,46,1,28,27.073972741361768,0.5206383711525372,0.26215818524360657,0.5215082581022483,0.7551776170730591,0.2707397274136177,0.49559091361557156,0.0,-1.0,0,0
11278840_15,47,1,30,27.892651361962706,0.3314368764559428,0.25611674785614014,0.640248403299277,1.1863991022109985,0.27892651361962706,0.02847617806192515,0.14644660940672627,-1.0,0,0
11278840_15,48,1,35,31.064449134018133,0.2342203029564449,0.17998981475830078,0.8626268679765932,1.4765876531600952,0.31064449134018135,0.02260831897627441,0.05278640450004208,-1.0,0,0
11278840_15,49,1,31,32.55764119219941,0.3010772697387203,0.2512037754058838,1.7211183295576689,1.2111128568649292,0.3255764119219941,1.0006568267875833,0.18377223398316206,-1.0,0,0
11278840_15,50,1,37,37.64306044943742,0.2549009153971801,0.08092714846134186,1.337980871939254,1.5696930885314941,0.3764306044943742,0.14185717891338556,0.25,-1.0,0,0
11278840_15,51,1,49,48.38388161361178,0.2255989871158892,0.11945236474275589,1.1409521791068507,1.494544506072998,0.4838388161361178,0.016122247491008546,0.14644660940672624,-1.0,0,0
11728825_15,0,0,5,3.1622776601683795,0.40204604268074035,0.37883827090263367,0.09193191242518872,0.9138625264167786,0.0316227766016838,0.14644660940672632,0.0,-1.0,0,0
11728825_15,1,0,6,4.123105625617661,0.2792336543401082,0.2635849118232727,0.5391667333347718,1.2928071022033691,0.0412310562561766,0.20512857487522618,0.0,-1.0,0,0
11728825_15,2,1,10,6.708203932499369,0.21550001353025436,0.12168547511100769,0.923259437993377,1.7111445665359497,0.0670820393249937,0.1450328321324334,0.0,-1.0,1,1
11728825_15,3,0,9,7.0710678118654755,0.2093106508255005,0.17948460578918457,0.6415047885807048,1.56131112575531,0.07071067811865475,0.009482984706739861,0.0,-1.0,0,0
11728825_15,4,1,11,9.055385138137417,0.2976431196386164,0.23835796117782593,0.4089132022862825,1.2692809104919434,0.09055385138137417,0.04907844041296483,0.0,-1.0,1,1
11728825_15,5,1,12,9.219544457292887,0.3513096248110135,0.3303202986717224,0.295820662592714,1.0642836093902588,0.09219544457292889,0.01201960487949122,0.12732200375003502,-1.0,0,0
11728825_15,6,0,11,10.0,0.31161459196697583,0.29096707701683044,0.30420533436694086,1.1684436798095703,0.1,0.035761654557370404,0.0,-1.0,0,0
11728825_15,7,0,15,12.165525060596439,0.3720339238643646,0.2832588851451874,0.8085903868162279,0.9924758076667786,0.12165525060596437,0.41806612629346396,0.276393202250021,-1.0,0,0
11728825_15,8,1,13,12.649110640673518,0.2763511813603915,0.26122182607650757,0.586832410860125,1.3049722909927368,0.1264911064067352,0.008922404053926913,0.14644660940672627,-1.0,0,0
11728825_15,9,1,14,13.0,0.23382643503802164,0.16155734658241272,0.8013902473449706,1.4713902473449707,0.13,0.0,0.2,-1.0,0,0
11728825_15,10,1,21,16.15549442140351,0.31569358990305946,0.28233230113983154,0.5312774500553687,1.1665070056915283,0.16155494421403513,0.03654883348313853,0.16666666666666666,-1.0,0,0
11728825_15,11,0,20,16.76305461424021,0.25380555987358094,0.220921590924263,0.7473740122647774,1.3659753799438477,0.1676305461424021,0.02999585219536549,0.1837722339831621,-1.0,0,0
11728825_15,12,0,30,29.068883707497267,0.19335117662946383,0.02252303808927536,1.3046695141105764,1.821303129196167,0.2906888370749726,0.026010881172770395,0.16666666666666666,-1.0,0,0
11728825_15,13,1,31,31.622776601683793,0.21985680633975613,0.19171646237373352,1.12136074027012,1.530855655670166,0.31622776601683794,0.00997957897863161,0.26429773960448416,-1.0,0,0
