image_id,query_index,distance_class,variant,mask,score,boundary,success,off_road_ratio,path_length,expanded_nodes,planning_time_ms,safe_success_0.01,safe_success_0.05,safe_success_0.10
10378780_15,17,long,repaired+q+boundary_off,repaired,q,0,1,0.012287581699346406,4492.954903232432,71353,1668.7066000000002,0,1,1
10378780_15,17,long,repaired+q+boundary_on,repaired,q,1,1,0.006013071895424882,4497.0970388561645,65611,1670.0915999999993,1,1,1
10378780_15,18,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,18,long,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,19,long,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,20,short,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,21,short,original+p+boundary_off,original,p,0,1,0.0,63.284271247461895,957,21.485300000001928,1,1,1
10828720_15,21,short,original+p+boundary_on,original,p,1,1,0.0,63.284271247461895,1179,31.191200000002084,1,1,1
10828720_15,21,short,original+q+boundary_off,original,q,0,1,0.0,63.284271247461895,1055,22.997600000000062,1,1,1
10828720_15,21,short,original+q+boundary_on,original,q,1,1,0.0,63.284271247461895,1255,32.36910000000037,1,1,1
10828720_15,21,short,repaired+p+boundary_off,repaired,p,0,1,0.0,63.284271247461895,957,21.465599999999085,1,1,1
10828720_15,21,short,repaired+p+boundary_on,repaired,p,1,1,0.0,63.284271247461895,1179,26.514399999999938,1,1,1
10828720_15,21,short,repaired+q+boundary_off,repaired,q,0,1,0.0,63.284271247461895,1055,26.607100000003214,1,1,1
10828720_15,21,short,repaired+q+boundary_on,repaired,q,1,1,0.0,63.284271247461895,1255,32.343099999998515,1,1,1
10828720_15,22,short,original+p+boundary_off,original,p,0,1,0.01650943396226412,1092.6286424872515,56022,1404.3898000000006,0,1,1
10828720_15,22,short,original+p+boundary_on,original,p,1,1,0.008206330597889777,1100.5281374238632,59182,1497.5179999999996,1,1,1
10828720_15,22,short,original+q+boundary_off,original,q,0,1,0.009356725146198785,1101.699710299117,53905,1281.402,1,1,1
10828720_15,22,short,original+q+boundary_on,original,q,1,1,0.007001166861143493,1105.3565645486094,57006,1450.5492999999988,1,1,1
10828720_15,22,short,repaired+p+boundary_off,repaired,p,0,1,0.01650943396226412,1092.6286424872515,58794,1431.595299999998,0,1,1
10828720_15,22,short,repaired+p+boundary_on,repaired,p,1,1,0.008206330597889777,1100.5281374238632,61790,1567.1011999999998,1,1,1
10828720_15,22,short,repaired+q+boundary_off,repaired,q,0,1,0.009356725146198785,1101.699710299117,56489,1396.7413000000022,1,1,1
10828720_15,22,short,repaired+q+boundary_on,repaired,q,1,1,0.007001166861143493,1105.3565645486094,59567,1558.8306000000002,1,1,1
10828720_15,23,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,23,short,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,24,short,original+p+boundary_off,original,p,0,1,0.051724137931034475,387.1787155501909,10028,282.85319999999814,0,0,1
10828720_15,24,short,original+p+boundary_on,original,p,1,1,0.025787965616045794,387.7645019878177,11782,307.6168999999993,0,1,1
10828720_15,24,short,original+q+boundary_off,original,q,0,1,0.04597701149425293,387.1787155501908,9632,234.98019999999542,0,1,1
10828720_15,24,short,original+q+boundary_on,original,q,1,1,0.025787965616045794,387.7645019878177,11312,285.9465999999955,0,1,1
10828720_15,24,short,repaired+p+boundary_off,repaired,p,0,1,0.051724137931034475,387.1787155501909,10028,238.49599999999782,0,0,1
