method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Soft-probability A*,1,1308.13412639702,122590,1305.2694000000001,1.0,0.0,nan,nan,nan,0.0049823586438363585,34,103722
Clearance-aware A*,1,1329.1046891454973,116697,1249.1743,0.9949706621961442,0.005029337803855838,nan,nan,nan,0.021093126788919492,34,103722
URA-style A*,1,1328.5189027078704,122460,1276.883099999999,1.0,0.0,nan,nan,nan,0.020643092634264948,34,103722
GT Oracle A*,1,1301.6488450227812,65073,650.7057000000032,1.0,0.0,nan,nan,nan,0.0,34,103722
Topology+Risk A*,1,1331.3473298326167,117159,1300.594899999993,1.0,0.0,nan,nan,nan,0.02281604975366124,34,103722
Binary-mask A*,1,1238.6194077712585,88293,875.8523999999994,0.632579185520362,0.36742081447963804,nan,nan,nan,-0.003883095847885137,35,103722
Soft-probability A*,1,1249.9331162702435,116847,1240.4698999999937,1.0,0.0,nan,nan,nan,0.00521556368690049,35,103722
Clearance-aware A*,1,1270.903679018721,110578,1245.7741000000055,0.9946855624446412,0.005314437555358764,nan,nan,nan,0.022080414917456024,35,103722
URA-style A*,1,1267.0041840821093,113646,1219.6289999999976,1.0,0.0,nan,nan,nan,0.01894438071708454,35,103722
GT Oracle A*,1,1243.447834896005,64877,723.8424000000023,1.0,0.0,nan,nan,nan,0.0,35,103722
Topology+Risk A*,1,1271.489465456348,109916,1211.091499999995,1.0,0.0,nan,nan,nan,0.022551513439796438,35,103722
Binary-mask A*,1,1328.3473298326164,93746,977.7144999999905,0.5927791771620488,0.40722082283795125,nan,nan,nan,-0.003621748370046782,36,103722
Soft-probability A*,1,1339.6610383316015,126809,1439.4107999999903,1.0,0.0,nan,nan,nan,0.004864535932636433,36,103722
Clearance-aware A*,1,1360.6316010800788,120735,1308.7962999999972,0.9950617283950617,0.004938271604938316,nan,nan,nan,0.02059431697541304,36,103722
URA-style A*,1,1356.732106143467,126658,1342.7640000000024,1.0,0.0,nan,nan,nan,0.01766935009369344,36,103722
GT Oracle A*,1,1333.1757569573626,69260,743.0241999999936,1.0,0.0,nan,nan,nan,0.0,36,103722
Topology+Risk A*,1,1361.2173875177057,119801,1357.1373999999992,1.0,0.0,nan,nan,nan,0.02103370873195368,36,103722
Binary-mask A*,1,1304.9625535217665,87019,945.6532000000095,0.5473145780051151,0.45268542199488493,nan,nan,nan,-0.0036864104243280876,37,103722
Soft-probability A*,1,1316.2762620207518,118156,1481.886199999991,1.0,0.0,nan,nan,nan,0.004951386496063638,37,103722
Clearance-aware A*,1,1337.246824769229,108929,1209.6111000000037,0.9949874686716792,0.005012531328320802,nan,nan,nan,0.020962004265111193,37,103722
URA-style A*,1,1333.3473298326173,105328,1201.5381000000075,1.0,0.0,nan,nan,nan,0.017984815542459464,37,103722
GT Oracle A*,1,1309.7909806465127,73762,769.2004999999966,1.0,0.0,nan,nan,nan,0.0,37,103722
Topology+Risk A*,1,1337.8326112068557,106947,1225.5460999999882,1.0,0.0,nan,nan,nan,0.02140924084429234,37,103722
Binary-mask A*,1,1354.1463197058401,92930,1038.1227000000024,0.5672997522708505,0.4327002477291495,nan,nan,nan,-0.003552992530587741,38,103722
Soft-probability A*,1,1365.4600282048257,124251,1444.1393999999973,1.0,0.0,nan,nan,nan,0.004772186819044376,38,103722
Clearance-aware A*,1,1386.4305909533027,113973,1270.1524000000006,0.9951417004048583,0.004858299595141724,nan,nan,nan,0.020203351229850973,38,103722
URA-style A*,1,1382.5310960166912,111454,1251.4065999999957,1.0,0.0,nan,nan,nan,0.017333912378462484,38,103722
GT Oracle A*,1,1358.9747468305866,78243,851.2652999999943,1.0,0.0,nan,nan,nan,0.0,38,103722
Topology+Risk A*,1,1387.0163773909296,112065,1294.9639999999931,1.0,0.0,nan,nan,nan,0.020634401504326688,38,103722
Binary-mask A*,1,1259.7199128346465,84612,924.7032000000104,0.6005314437555359,0.3994685562444641,nan,nan,nan,-0.0038183017383910294,39,103722
Soft-probability A*,1,1271.0336213336316,114554,1335.548000000003,1.0,0.0,nan,nan,nan,0.005128535754075557,39,103722
Clearance-aware A*,1,1292.0041840821088,111391,1250.5852000000032,0.99479618386817,0.005203816131829964,nan,nan,nan,0.021711976723323662,39,103722
URA-style A*,1,1288.1046891454973,114018,1251.7429999999904,1.0,0.0,nan,nan,nan,0.01862827101323848,39,103722
GT Oracle A*,1,1264.548339959393,62774,653.7872999999905,1.0,0.0,nan,nan,nan,0.0,39,103722
Topology+Risk A*,1,1292.589970519736,110015,1221.5814999999993,1.0,0.0,nan,nan,nan,0.02217521440203979,39,103722
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,104883
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,104883
