method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Clearance-aware A*,1,1097.3565645486094,61553,410.01620000000116,0.9870435806831567,0.012956419316843326,nan,nan,nan,1.6933721314987331,22,10828720_15
URA-style A*,1,1108.1849916733556,50120,332.1468999999979,0.9976717112922002,0.002328288707799775,nan,nan,nan,1.7199496221594404,22,10828720_15
GT Oracle A*,1,407.42849891224756,8001,51.25340000000023,1.0,0.0,nan,nan,nan,0.0,22,10828720_15
Topology+Risk A*,1,1105.3565645486094,59567,399.55860000000246,0.9929988331388565,0.007001166861143493,nan,nan,nan,1.7130074786120508,22,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,23,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,23,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,23,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,23,10828720_15
GT Oracle A*,1,948.6072144624392,14601,98.65029999999919,1.0,0.0,nan,nan,nan,0.0,23,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,23,10828720_15
Binary-mask A*,1,386.0071426749369,8335,56.12599999999901,0.28901734104046245,0.7109826589595376,nan,nan,nan,-0.013473953281686862,24,10828720_15
Soft-probability A*,1,386.5929291125639,10415,71.5874999999997,0.9481268011527377,0.05187319884726227,nan,nan,nan,-0.01197684736149919,24,10828720_15
Clearance-aware A*,1,387.7645019878177,12439,84.05090000000115,0.9742120343839542,0.025787965616045794,nan,nan,nan,-0.00898263552112443,24,10828720_15
URA-style A*,1,387.1787155501909,9760,66.09519999999947,0.9482758620689655,0.051724137931034475,nan,nan,nan,-0.010479741441311665,24,10828720_15
GT Oracle A*,1,391.2792206135791,6012,38.75839999999897,1.0,0.0,nan,nan,nan,0.0,24,10828720_15
Topology+Risk A*,1,387.7645019878177,11312,77.5548999999991,0.9742120343839542,0.025787965616045794,nan,nan,nan,-0.00898263552112443,24,10828720_15
Binary-mask A*,1,602.4457428549504,17507,114.5885999999976,0.42936802973977695,0.570631970260223,nan,nan,nan,0.17392130775344739,25,10828720_15
Soft-probability A*,1,603.8599564173235,23614,158.0697000000022,0.9628942486085343,0.03710575139146566,nan,nan,nan,0.1766770338155426,25,10828720_15
Clearance-aware A*,1,605.8599564173235,27710,183.5563000000029,0.9759704251386322,0.02402957486136781,nan,nan,nan,0.1805742189867426,25,10828720_15
URA-style A*,1,607.0315292925773,30112,200.3155000000021,0.9705340699815838,0.029465930018416242,nan,nan,nan,0.18285713720495222,25,10828720_15
GT Oracle A*,1,513.190908859011,16730,108.1228000000003,1.0,0.0,nan,nan,nan,0.0,25,10828720_15
Topology+Risk A*,1,606.4457428549504,31077,205.75890000000285,0.9797047970479705,0.020295202952029467,nan,nan,nan,0.1817156780958474,25,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,26,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,26,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,26,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,26,10828720_15
GT Oracle A*,1,989.3544725075546,27695,174.2426999999971,1.0,0.0,nan,nan,nan,0.0,26,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,26,10828720_15
Binary-mask A*,1,802.0386719675142,31330,205.97330000000014,0.7991391678622669,0.2008608321377331,nan,nan,nan,-0.014640530329440047,27,10828720_15
Soft-probability A*,1,809.3696244092023,38003,255.50979999999868,0.9818941504178273,0.01810584958217265,nan,nan,nan,-0.005633952887979189,27,10828720_15
Clearance-aware A*,1,806.8670990922606,44303,296.8217999999965,0.9700427960057061,0.029957203994293913,nan,nan,nan,-0.008708476729940177,27,10828720_15
URA-style A*,1,807.2102448427681,37930,253.93689999999935,0.9701280227596017,0.02987197724039825,nan,nan,nan,-0.008286898660755075,27,10828720_15
GT Oracle A*,1,813.9554108468291,30560,194.83390000000256,1.0,0.0,nan,nan,nan,0.0,27,10828720_15
Topology+Risk A*,1,817.6122650963216,44424,304.69039999999836,0.9958620689655172,0.004137931034482789,nan,nan,nan,0.00449269603808886,27,10828720_15
Binary-mask A*,1,1001.2935059634541,16930,109.18799999999607,0.695356738391846,0.304643261608154,nan,nan,nan,-1.1353997308933454e-16,28,10828720_15
Soft-probability A*,1,1001.2935059634542,27524,186.4024999999998,0.9943374858437146,0.005662514156285381,nan,nan,nan,0.0,28,10828720_15
Clearance-aware A*,1,1001.2935059634542,39802,265.312999999999,0.9898074745186863,0.010192525481313663,nan,nan,nan,0.0,28,10828720_15
URA-style A*,1,1001.2935059634542,41996,278.9481000000009,0.9943374858437146,0.005662514156285381,nan,nan,nan,0.0,28,10828720_15
GT Oracle A*,1,1001.2935059634542,14228,88.85219999999805,1.0,0.0,nan,nan,nan,0.0,28,10828720_15
Topology+Risk A*,1,1001.2935059634542,42721,282.2031999999979,0.9920724801812004,0.007927519818799578,nan,nan,nan,0.0,28,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,29,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,29,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,29,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,29,10828720_15
GT Oracle A*,1,1515.661038331602,60684,389.17789999999997,1.0,0.0,nan,nan,nan,0.0,29,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,29,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,30,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,30,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,30,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,30,10828720_15
GT Oracle A*,1,1290.4032457428343,19473,122.71989999999988,1.0,0.0,nan,nan,nan,0.0,30,10828720_15
Topology+Risk A*,1,1922.3485553218989,78801,522.1723000000011,0.9851228978007762,0.01487710219922378,nan,nan,nan,0.489726999419688,30,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,31,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,31,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,31,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,31,10828720_15
GT Oracle A*,1,877.9331162702435,21807,138.02139999999952,1.0,0.0,nan,nan,nan,0.0,31,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,31,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,32,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,32,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,32,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,32,10828720_15
GT Oracle A*,1,1157.9898987322342,28934,182.7856999999966,1.0,0.0,nan,nan,nan,0.0,32,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,32,10828720_15
Binary-mask A*,1,1574.555482634331,23958,152.74760000000498,0.29386590584878747,0.7061340941512125,nan,nan,nan,-0.0005258572971415608,33,10828720_15
Soft-probability A*,1,1579.5260453828082,42933,284.8875000000035,0.9386590584878745,0.061340941512125546,nan,nan,nan,0.0026292864857078045,33,10828720_15
Clearance-aware A*,1,1581.1828996323006,47931,316.3847000000004,0.9885877318116976,0.011412268188302432,nan,nan,nan,0.003681001079990926,33,10828720_15
URA-style A*,1,1584.4966081312857,61104,410.81950000000234,0.9479315263908702,0.052068473609129806,nan,nan,nan,0.005784430268557314,33,10828720_15
GT Oracle A*,1,1575.3839097590771,20822,129.3483999999978,1.0,0.0,nan,nan,nan,0.0,33,10828720_15
Topology+Risk A*,1,1582.839753881793,52446,352.2172999999995,0.9807417974322397,0.01925820256776034,nan,nan,nan,0.004732715674274047,33,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,34,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,34,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,34,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,34,10828720_15
GT Oracle A*,1,1835.859089865551,51049,326.2161999999975,1.0,0.0,nan,nan,nan,0.0,34,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,34,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,35,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,35,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,35,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,35,10828720_15
GT Oracle A*,1,1814.0966799187877,45913,296.60170000000363,1.0,0.0,nan,nan,nan,0.0,35,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,35,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,36,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,36,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,36,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,36,10828720_15
GT Oracle A*,1,1877.2093782909958,58591,379.1930000000008,1.0,0.0,nan,nan,nan,0.0,36,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,36,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,37,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,37,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,37,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,37,10828720_15
GT Oracle A*,1,1735.0600999923272,39221,250.2520999999973,1.0,0.0,nan,nan,nan,0.0,37,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,37,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,38,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,38,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,38,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,38,10828720_15
GT Oracle A*,1,2096.6437943888955,40037,251.54240000000527,1.0,0.0,nan,nan,nan,0.0,38,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,38,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,39,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,39,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,39,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,39,10828720_15
GT Oracle A*,1,1816.6681810065395,29833,202.69770000000165,1.0,0.0,nan,nan,nan,0.0,39,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,39,10828720_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,11128870_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,11128870_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,11128870_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,40,11128870_15
GT Oracle A*,1,642.7026688919441,8763,57.763999999998816,1.0,0.0,nan,nan,nan,0.0,40,11128870_15
